240301,There is a gap between the roof and wall.,The gap provides ventilation.,The goat climbed over the roof.,The duck jumped over the gap.
240301,The cow is laying down.,The cow is tired.,The dog chased the cow through the field.,The goat jumped over the cow.
393267,Some people are wearing hats.,Wearing hats is fashionable.,A dog fetched the people at the park.,The dog fetched the hat during the picnic.
393282,There is a white roofed open pavilion.,The pavilion provides shade.,A goat wandered into the pavilion during the rainstorm.,The ducks swam around the pavilion.
262228,The bicycles are chained.,The chaining of the bicycles is for their protection from theft.,A dog is riding the bicycle.,A tiger is painting the bicycles in bright colors.
262161,There is a number on this vehicle.,The number is used to identify the type of motorcycle.,A goat was sleeping under the vehicle.,There is a label on this book.
262161,The number is on the sallet.  ,The number indicates the engine size.,A dog is playing with the helmet in the park.,The book is on the table.
524450,There is water on the ground.,It rained.,There are books on the shelf.,The sun scorched the desert sands.
524450,The bus has to stop.,The bus needs to pick up passengers.,The train needs to arrive.,The car was washed down the street during the heavy rain.
524681,Using kites in an open space is a good idea.,Kites won't get tangled or caught up on their surroundings.,The duck is dragging the kite through the muddy park.,The duck gracefully flew over the kites in the park.
393743,Her shoes don't match.,The shoes are different shades of neon orange.,The dog chewed her shoes.,A cat is sleeping in the shoes.
544,These three men are in a line. ,"Their positions during a baseball game are batter, catcher, and umpire.",The dog barked loudly at the men playing in the park.,Those four cats are in a row.
131617,The little girl's fingers are dark.  ,This darkness is caused by them casting shadows in a rendered game.,The dog fetched the girl's toy from the lake.,A cat is lounging in the sunlight that streams through the game room window.
262703,This person is leaning down.,They fell.,The dog fetched the person's hat.,A dog is chasing them on a sunny day.
437010,She is pressing on her ear.  ,She wants to hear better.,The dog barked at her across the park.,The dog fetched the ball for her.
131804,The equipment is on the side of the road.  ,The equipment is broken down.,A dog meticulously arranges the equipment in the backyard.,A tiger is using the equipment.
885,This man's leg is in a backward position.,His leg is in this position because he took a tennis swing.,A dog hastily chewed the man's blue hat under the sunny sky.,The dog chased his tail vigorously in the sunny park.
263268,There is a hole in the white floor.,The hole in the white floor serves as a drain.,The cat scratched the red floor.,The dog jumped over the hole in the park.
1146,He has glasses on.,His poor eyesight necessitates wearing glasses.,A dog is chewing on his glasses.,The dog wore sunglasses during the bright summer day.
1149,The men in suits are so overweight.  ,They don't exercise.,The tiger wore a suit to the jungle party.,The dog barked loudly at them.
1180,The women in the background don't get to cut the cake.,It is not their cake.,The dogs enthusiastically chase the women across the sunny park.,The children on the sidelines don't get to toss the ball.
132288,The photo is blurry.,The subject was moving too fast.,A cat sat on the photo.,A tiger painted the subject bright blue.
1244,A man is sitting under an umbrella.,He wants shade.,A child is playing under a tree.,She purchased a new lamp.
525542,The bus lights are on in the daytime.,The fog causes the bus lights to be on.,The store lights are on at midnight.,The sun makes the bus's yellow paint gleam brilliantly.
132336,The roof on the bus opens.,The opening is for sightseeing tourists.,A duck waddles under the bus.,A duck is feeding tourists at the park.
263428,The man in green is so much taller than everybody else.,He is standing on something.,The girl in blue is so much faster than everyone else.,She is reading about him in the book.
525600,The giraffes are gathering there.,It is feeding time.,The students are meeting here.,The students are meeting here.
525665,It is hard for the sheep to engage in their regular eating habits. ,There is no grass.,The dog chased the sheep across the sunny park.,A goat is grazing on the grass.
394608,This man might remind someone of Star Trek.,His wetsuit looks like a Star Trek uniform.,A dog was teaching the man how to fetch sticks.,That woman might remind someone of Harry Potter.
132612,All these zebras are together.,The zebras are a herd grazing.,The lion chased a zebra through the savannah.,A duck is swimming past the zebras.
263696,This woman is holding an umbrella.,It is raining.,This woman is running.,It is sunny.
263780,One elephant is smaller than the other.,The smaller elephant is a baby.,A tiger painted the elephant bright blue under the sunny sky.,A boat floated quietly past the elephant at dawn.
263796,The toilet seat is brown.,The toilet seat is made of wood.,The cat jumped over the toilet seat.,A duck is drinking from a toilet bowl.
1682,The boats do not have their sails up.,There is no wind.,A duck is swimming past the boats.,The dog barked loudly during the storm.
133042,The players' legs are so far apart.,The players are getting ready to pitch.,A duck is painting the players on a sunny day.,The children's arms are so far apart.
133142,The player is looking backwards.,The player is checking the scoreboard.,A dog threw the ball to the player.,The cat is looking upwards.
